group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
SVD type 3,sex,RICA_diameter,1.90 [1.71–2.09],1.43 [1.26–1.61],21,12,Mann-Whitney U,209.0,0.0020185802483102303
SVD type 3,Alcohol,BA_diameter,0.87 [0.83–1.14],1.12 [0.96–1.29],10,23,Mann-Whitney U,96.0,0.46863536447629406
SVD type 3,Alcohol,LICA_diameter,1.67 [1.44–1.89],1.77 [1.57–1.97],10,23,Mann-Whitney U,98.0,0.5180494011092558
SVD type 3,Alcohol,RICA_diameter,1.68 [1.46–1.91],1.75 [1.54–1.96],10,23,Mann-Whitney U,109.0,0.8294151613648015
SVD type 3,Smoke,BA_diameter,0.97 [0.82–1.26],1.05 [0.74–1.36],27,6,Mann-Whitney U,82.0,0.9818737991707959
SVD type 3,Smoke,LICA_diameter,1.73 [1.55–1.91],1.77 [1.52–2.01],27,6,Mann-Whitney U,76.0,0.8378916689539604
SVD type 3,Smoke,RICA_diameter,1.74 [1.56–1.93],1.67 [1.48–1.86],27,6,t-test,0.3738532324525091,0.7110583389425347
SVD type 3,HTN,BA_diameter,1.08 [0.94–1.22],1.09 [0.80–1.38],23,10,Mann-Whitney U,122.0,0.7990129470191201
SVD type 3,HTN,LICA_diameter,1.75 [1.57–1.94],1.70 [1.39–2.00],23,10,Mann-Whitney U,118.0,0.9219858186308934
SVD type 3,HTN,RICA_diameter,1.69 [1.42–1.95],1.70 [1.40–2.00],23,10,Mann-Whitney U,114.0,0.9843732183156827
SVD type 3,DM,BA_diameter,0.96 [0.81–1.25],1.21 [0.87–1.55],25,8,Mann-Whitney U,71.0,0.23643122419540663
SVD type 3,DM,LICA_diameter,1.76 [1.58–1.94],1.68 [1.37–1.99],25,8,Mann-Whitney U,109.0,0.7262970828043132
SVD type 3,DM,RICA_diameter,1.75 [1.57–1.94],1.66 [1.34–1.97],25,8,Mann-Whitney U,111.0,0.6652994967789184
